word,pos,primary_definition_en,primary_definition_ko,mw_definition_number,sat_meaning_en,sat_meaning_ko,skills,difficulties,occurrence_count
"of","preposition","used to indicate belonging or a relationship","소속 또는 관계를 나타내는 데 사용됨",2,"used to indicate a part or a subset of something","무언가의 일부 또는 하위 집합을 나타내는 데 사용됨","Transitions","Hard",1
"offset","verb","to counterbalance or compensate for","상쇄하다 또는 보상하다",2,"to counteract or balance out","상쇄하거나 균형을 맞추다","Words in Context | Cross-Text Connections","Medium | Easy",2
"one","adjective","a single unit","하나의 단위",2,"a particular or specific one","특정한 하나","Form, Structure, and Sense","Easy",1
"only","adverb","without others or as the sole one","다른 것 없이 또는 유일한 하나로",2,"no more than; merely","단지; 겨우","Transitions","Easy",1
"open","adjective","not closed or blocked","닫히지 않거나 차단되지 않은",2,"accessible or welcoming","접근 가능하거나 환영하는","Text Structure and Purpose","Medium",1
"openness","noun","the quality of being open; lack of restriction","개방의 질; 제한의 부족",2,"the willingness to consider new ideas or experiences","새로운 아이디어나 경험을 고려할 의지","Boundaries","Hard",1
"ordinary","adjective","of no special quality or interest; commonplace","특별한 품질이나 흥미가 없는; 평범한",2,"normal or usual; not special or different","정상적이거나 일반적인; 특별하거나 다른 것이 아닌","Central Ideas and Details","Easy",1
"organ","noun","a part of an organism that is typically self-contained and has a specific vital function","유기체의 일반적으로 자립적인 부분으로 특정한 중요한 기능을 가진",2,"a structure or part that performs a specific function in a system","시스템에서 특정 기능을 수행하는 구조 또는 부분","Boundaries","Medium",1
"overlook","verb","to fail to notice","간과하다",2,"to ignore or neglect","무시하거나 소홀히 하다","Text Structure and Purpose","Medium",1
"overstate","verb","to state too strongly or too emphatically","너무 강하게 또는 너무 강조하여 말하다",2,"to exaggerate or make something seem more important than it is","과장하거나 어떤 것이 실제보다 더 중요하게 보이게 하다","Text Structure and Purpose","Hard",1
"pack","verb","to fill a container tightly with something","무언가로 용기를 꽉 채우다",2,"to prepare or arrange for a journey or event","여행이나 사건을 위해 준비하거나 정리하다","Form, Structure, and Sense","Easy",1
"package","noun","a bundle of something, usually wrapped or boxed","무언가의 묶음, 보통 포장되거나 상자에 담긴",2,"the act of preparing a product for sale or distribution","판매 또는 배포를 위한 제품 준비 행위","Boundaries","Easy",1
"panel","noun","a flat or curved component that forms or is set into the surface of a larger object","더 큰 물체의 표면을 형성하거나 그 안에 설정된 평평하거나 곡선형의 구성 요소",2,"a distinct section or division of a larger work or structure","더 큰 작업이나 구조의 뚜렷한 섹션 또는 구분","Form, Structure, and Sense","Medium",1
"part","verb","to divide or separate","나누다 또는 분리하다",2,"to leave or say goodbye","떠나거나 작별 인사를 하다","Words in Context","Hard",1
"passage","noun","a portion of written text","작성된 텍스트의 일부",2,"the act of moving from one place to another","한 장소에서 다른 장소로 이동하는 행위","Rhetorical Synthesis","Hard",1
"passive","adjective","not active","비활성의",2,"accepting or allowing what happens without active response or resistance","적극적인 반응이나 저항 없이 발생하는 것을 수용하거나 허용하는","Command of Evidence | Central Ideas and Details","Hard | Medium",2
"patent","verb","to obtain a patent for (an invention)","(발명에 대한) 특허를 받다",2,"to make or create (something)","(무언가를) 만들다 또는 창조하다","Form, Structure, and Sense","Easy",1
"pause","verb","to temporarily stop","일시적으로 멈추다",2,"to delay or suspend an action","행동을 지연시키거나 중단하다","Transitions","Easy",1
"percent","noun","one part in every hundred","백분의 일",2,"a proportion or share in relation to a whole","전체에 대한 비율 또는 몫","Boundaries","Easy",1
"perform","verb","to carry out an action or task","행동이나 작업을 수행하다",2,"to act in a way intended to impress others","다른 사람에게 인상을 주기 위해 행동하다","Transitions","Medium",1
"persuade","verb","to cause (someone) to do something through reasoning or argument","설득하다",2,"to convince or influence someone to adopt a particular belief or course of action","특정 신념이나 행동 방침을 채택하도록 설득하다","Words in Context","Medium",1
"phase","noun","a particular point in a process","과정의 특정 지점",2,"a stage in a process of change or development","변화 또는 발전의 단계","Boundaries","Easy",1
"pioneer","noun","a person who is one of the first to settle in a new area","새로운 지역에 정착한 최초의 사람",2,"a person who helps create or develop new ideas or methods","새로운 아이디어나 방법을 창출하거나 개발하는 사람","Words in Context","Medium",1
"pioneering","adjective","relating to the first or earliest in a particular field","특정 분야에서 최초 또는 초기와 관련된",2,"introducing new ideas or methods","새로운 아이디어나 방법을 도입하는","Boundaries","Hard",1
"place","noun","a particular position or point in space","특정 위치 또는 공간의 지점",2,"a particular condition or situation","특정 조건 또는 상황","Form, Structure, and Sense","Easy",1
"placebo","noun","a substance having no pharmacological effect but given merely to satisfy a patient who supposes it to be a medicine","약효가 없는 물질이지만 약으로 생각하는 환자를 만족시키기 위해 주어진 것",2,"a medically inactive substance used in clinical trials","임상 시험에서 사용되는 의학적으로 비활성 물질","Command of Evidence","Medium",1
"plant","noun","a living organism that typically grows in a permanent site, absorbing water and nutrients through its roots","영구적인 장소에서 자라며 뿌리를 통해 물과 영양분을 흡수하는 생물체",2,"a place where an industrial or manufacturing process takes place","산업 또는 제조 과정이 이루어지는 장소","Boundaries","Easy",1
"plateau","verb","to reach a state of little or no change after a time of activity or progress","활동이나 진행 후 변화가 거의 없거나 없는 상태에 도달하다",2,"to remain at a stable level after a period of growth or progress","성장이나 진행 기간 후 안정적인 수준에 머무르다","Cross-Text Connections","Medium",1
"play","verb","to engage in activity for enjoyment and recreation","즐거움과 오락을 위해 활동에 참여하다",2,"to engage in an activity that is not serious or is done for enjoyment","진지하지 않거나 즐거움을 위해 하는 활동에 참여하다","Cross-Text Connections | Boundaries","Easy | Hard",2
"plead","verb","to make an emotional appeal","감정적인 호소를 하다",2,"to present and argue for (a position)","(입장을) 제시하고 주장하다","Form, Structure, and Sense","Medium",1
"pointing","verb","to direct attention to something","무언가에 주의를 기울이도록 하다",2,"to indicate or signify something","무언가를 나타내거나 의미하다","Text Structure and Purpose","Medium",1
"popularity","noun","the state of being liked or admired by many people","많은 사람들에게 좋아하거나 존경받는 상태",2,"the state of being well-known or accepted","잘 알려지거나 받아들여지는 상태","Words in Context","Medium",1
"portrait","noun","a likeness of a person, especially one showing the face","특히 얼굴을 보여주는 사람의 초상",2,"a representation of a landscape or scene","풍경이나 장면의 표현","Form, Structure, and Sense | Boundaries","Easy | Hard",2
"portray","verb","to represent or depict someone or something in a work of art or literature","예술 작품이나 문학에서 누군가 또는 무언가를 나타내거나 묘사하다",2,"to describe or represent in a particular way","특정한 방식으로 설명하거나 나타내다","Words in Context","Medium",1
"power","noun","the ability or capacity to do something or act in a particular way","무언가를 하거나 특정 방식으로 행동할 수 있는 능력 또는 능력",3,"the rate at which work is done or energy is transferred","일이 수행되거나 에너지가 전달되는 비율","Command of Evidence | Text Structure and Purpose","Hard | Medium",2
"powered","verb","to supply with power","전력을 공급하다",2,"to be energized or activated","에너지를 공급받거나 활성화되다","Boundaries","Medium",1
"praise","noun","a favorable judgment","호의적인 판단",2,"expressions of approval or admiration","승인 또는 찬사의 표현","Boundaries","Hard",1
"prefer","verb","to like one thing better than another","다른 것보다 한 가지를 더 좋아하다",2,"to choose or favor one option over another","한 가지 옵션을 다른 것보다 선택하거나 선호하다","Boundaries","Easy",1
"present","adjective","being in view or at hand","눈에 보이거나 가까이에 있는",2,"existing or occurring now","현재 존재하거나 발생하는","Words in Context | Central Ideas and Details","Medium | Hard",2
"preserved","verb","to keep safe from injury, harm, or destruction","부상, 해, 또는 파괴로부터 안전하게 지키다",2,"to maintain in a particular condition or state","특정한 상태나 조건을 유지하다","Central Ideas and Details","Medium",1
"preserving","verb","to keep safe from harm or injury","해치거나 부상당하지 않도록 안전하게 지키다",2,"to maintain in its original or existing state","원래 또는 기존 상태로 유지하다","Rhetorical Synthesis","Hard",1
"presume","verb","to take for granted or assume","당연하게 여기다 또는 가정하다",2,"to suppose something is true based on probability","확률에 따라 어떤 것이 사실이라고 추측하다","Central Ideas and Details","Hard",1
"previous","adjective","existing or occurring before in time or order","시간이나 순서상에서 이전에 존재하거나 발생하는",2,"having been done, made, or used before","이전에 수행되었거나 만들어졌거나 사용된","Words in Context","Hard",1
"primary","adjective","first in order of time or development","시간이나 발전의 순서에서 첫 번째",2,"of chief importance","주요한 중요성의","Cross-Text Connections","Hard",1
"primitive","adjective","relating to the earliest age or period","가장 초기의 시대 또는 기간과 관련된",2,"lacking in sophistication or complexity","세련됨이나 복잡성이 결여된","Words in Context","Medium",1
"principal","adjective","most important","가장 중요한",2,"a person who has controlling authority","지배 권한을 가진 사람","Cross-Text Connections | Text Structure and Purpose","Hard | Medium",2
"prior","adjective","existing or coming before in time, order, or importance","시간, 순서 또는 중요성에서 이전 또는 오는",2,"earlier in time","시간상 더 이른","Transitions","Hard",1
"privileging","verb","to grant a privilege to","특권을 부여하다",2,"to treat as more important or special","더 중요하거나 특별하게 대하다","Central Ideas and Details","Hard",1
"prized","verb","to value highly","높이 평가하다",3,"to regard as precious or valuable","소중하거나 가치 있는 것으로 여기다","Command of Evidence","Hard",1
"process","noun","a series of actions or steps taken to achieve a particular end","특정한 결과를 얻기 위해 취하는 일련의 행동이나 단계",3,"a continuous series of changes or functions","연속적인 변화나 기능의 시리즈","Words in Context","Hard",1
"produce","verb","to bring forth or yield","산출하다",2,"to create or develop something","무언가를 창조하거나 개발하다","Boundaries","Hard",1
"profile","noun","a representation of something, especially a person’s face, as seen from one side","측면에서 본 사람의 얼굴을 포함한 어떤 것의 표현",2,"a set of characteristics or qualities that describe someone or something","누군가 또는 무언가를 설명하는 특성 또는 품질의 집합","Cross-Text Connections","Hard",1
"prominent","adjective","standing out so as to be easily seen","쉽게 보이도록 눈에 띄는",2,"widely and popularly known","널리 알려진","Rhetorical Synthesis","Hard",1
"promising","adjective","showing promise of success or improvement","성공이나 개선의 가능성을 보이는",2,"likely to be successful or favorable in the future","미래에 성공적이거나 유리할 가능성이 있는","Text Structure and Purpose","Hard",1
"promote","verb","to contribute to the growth or prosperity of","성장이나 번영에 기여하다",3,"to cause or help to happen","발생하게 하다","Inferences","Hard",1
"pronounce","verb","to declare officially or ceremoniously","공식적으로 또는 의식적으로 선언하다",2,"to articulate the sounds of (a word)","(단어의) 소리를 발음하다","Form, Structure, and Sense","Easy",1
"prose","noun","the ordinary form of spoken or written language","일반적인 구어 또는 서면 언어의 형태",2,"written language that is not poetry","시가 아닌 서면 언어","Boundaries","Medium",1
"protected","verb","to keep safe from harm or injury","해를 입지 않도록 지키다",2,"to keep something from being affected by something harmful","해로운 것에 의해 영향을 받지 않도록 유지하다","Inferences","Medium",1
"provide","verb","to make available","이용 가능하게 하다",2,"to supply or furnish","공급하다","Form, Structure, and Sense","Easy",1
"provisioning","noun","the act of supplying or providing something","공급 또는 제공 행위",2,"the act of providing material resources from the ecosystem","생태계에서 물질 자원을 제공하는 행위","Command of Evidence","Hard",1
"pull","noun","to exert force on (someone or something) so as to cause movement toward oneself","(누군가 또는 무언가에) 힘을 가하여 자신 쪽으로 움직이게 하다",2,"a force that attracts or draws something toward another object","다른 물체로 끌어당기는 힘","Form, Structure, and Sense","Easy",1
"put","verb","to place in a specified position","지정된 위치에 놓다",2,"to cause to be in a specified state or condition","특정 상태나 조건에 두다","Central Ideas and Details","Easy",1
"queer","adjective","strange or odd","이상한 또는 기이한",2,"differing from the usual or expected","일반적이거나 예상되는 것과 다른","Text Structure and Purpose","Medium",1
"quench","verb","to put out (a fire)","불을 끄다",2,"to suppress or extinguish (a process or activity)","(과정이나 활동을) 억제하다 또는 소멸시키다","Rhetorical Synthesis","Hard",1
"quick","adjective","moving fast or doing something in a short time","빠르게 움직이거나 짧은 시간 안에 무언가를 하는",2,"mentally agile or clever","정신적으로 민첩하거나 영리한","Text Structure and Purpose","Easy",1
"quicker","adjective","moving fast or doing something in a short time","빠르거나 짧은 시간에 무언가를 하는",2,"happening with greater speed or frequency","더 큰 속도나 빈도로 발생하는","Transitions","Easy",1
"quiet","adjective","making little or no noise","소음을 거의 내지 않는",2,"not showy or ostentatious","눈에 띄지 않거나 과시적이지 않은","Boundaries","Hard",1
"radiant","adjective","shining or glowing","빛나는 또는 빛을 발하는",2,"expressing joy or happiness","기쁨이나 행복을 표현하는","Central Ideas and Details","Easy",1
"raise","verb","to lift or move to a higher position","높이거나 이동시키다",2,"to care for and nurture (young)","(어린 것을) 돌보고 기르다","Text Structure and Purpose | Command of Evidence | Boundaries","Easy | Hard",3
"rally","verb","to bring (people) together for a common purpose","(사람들을) 공동의 목적을 위해 모으다",3,"to come together again after a period of disorganization or dispersion","혼란이나 분산 후 다시 모이다","Cross-Text Connections","Easy",1
"rambling","adjective","moving from place to place without a fixed plan; wandering","정해진 계획 없이 이곳저곳을 이동하는; 방황하는",2,"characterized by a lack of coherence or order; disorganized","일관성이나 질서가 결여된; 무질서한","Words in Context","Hard",1
"range","noun","a series of things in a line","일렬로 배열된 것들의 시리즈",2,"the extent or scope of something","무언가의 범위 또는 범위","Boundaries","Easy",1
"rank","verb","to arrange in a particular order","특정 순서로 배열하다",2,"to be classified or regarded in a particular way","특정 방식으로 분류되거나 간주되다","Form, Structure, and Sense","Medium",1
"ranked","verb","to arrange in a particular order","특정 순서로 배열하다",2,"to assign a position in a hierarchy or scale","계층 또는 척도에서 위치를 부여하다","Command of Evidence","Easy",1
"rather","adverb","to a certain or specified degree or extent","어느 정도 또는 특정한 정도로",2,"instead","대신에","Transitions","Hard | Medium",2
"reach","verb","to stretch out (one's hand)","손을 뻗다",2,"to arrive at or attain (a goal or level)","목표나 수준에 도달하다","Form, Structure, and Sense","Easy",1
"reacted","verb","to act in response to something","무언가에 반응하다",2,"to undergo a chemical change","화학적 변화를 겪다","Form, Structure, and Sense | Inferences","Easy | Hard",2
"read","verb","to look at and comprehend the meaning of written or printed matter","서면 또는 인쇄된 내용을 보고 이해하다",2,"to interpret or understand in a particular way","특정한 방식으로 해석하거나 이해하다","Central Ideas and Details","Hard",1
"reclaim","verb","to get back (something lost)","잃어버린 것을 되찾다",2,"to bring back to a condition of use or improvement","사용 가능하거나 개선된 상태로 되돌리다","Boundaries","Easy",1
"recognizable","adjective","able to be recognized","인식할 수 있는",2,"capable of being identified or distinguished","식별되거나 구별될 수 있는","Form, Structure, and Sense","Easy",1
"recognize","verb","to identify someone or something seen before","이전에 본 사람이나 사물을 식별하다",2,"to acknowledge the existence or validity of something","무언가의 존재나 유효성을 인정하다","Inferences","Hard | Medium",2
"reconcile","verb","to restore to friendship or harmony","우정이나 조화를 회복하다",2,"to make (two apparently conflicting things) compatible","(두 개의 겉보기에 상충하는 것을) 호환 가능하게 만들다","Words in Context","Medium",1
"record","noun","a written account of something","무언가에 대한 서면 기록",2,"an account or representation of something","무언가에 대한 설명 또는 표현","Central Ideas and Details","Easy",1
"recovery","noun","the act of regaining or saving something lost","잃어버린 것을 되찾거나 구하는 행위",2,"the process of returning to a normal state after a setback or problem","문제나 좌절 후 정상 상태로 돌아가는 과정","Boundaries","Medium",1
"reduce","verb","to bring down to a smaller extent, size, amount, number, etc.","더 작은 정도, 크기, 양, 숫자로 줄이다.",2,"to diminish in number or size","수나 크기를 줄이다","Form, Structure, and Sense | Inferences | Central Ideas and Details","Easy | Hard | Medium",3
"reed","noun","a tall, slender-leaved plant of the grass family that grows in water or on marshy ground","물가나 습기 있는 땅에서 자라는 길고 가느다란 잎을 가진 풀",2,"a thin strip of material that vibrates to produce sound in a musical instrument","악기에서 소리를 내기 위해 진동하는 얇은 재료 조각","Boundaries","Easy",1
"refer","verb","to mention or allude to","언급하다 또는 암시하다",2,"to direct attention to","주목하게 하다","Transitions","Medium",1
"reflect","verb","to throw back without absorbing","흡수하지 않고 되돌려 보내다",2,"to show or demonstrate (a quality or characteristic)","(특성이나 특질을) 나타내다 또는 보여주다","Words in Context | Text Structure and Purpose | Command of Evidence | Transitions | Form, Structure, and Sense","Hard | Easy | Medium",7
"reflective","adjective","of or relating to reflection","반사와 관련된",2,"thoughtful or contemplative","사려 깊은 또는 사색적인","Command of Evidence","Hard",1
"reflects","verb","to throw back without absorbing it","흡수하지 않고 되돌려 보내다",2,"to show or demonstrate","보여주거나 입증하다","Command of Evidence","Medium",1
"refuse","verb","to indicate or show that one is not willing to do something","무언가를 하기를 원하지 않다고 나타내거나 보여주다",2,"to resist or oppose something","무언가에 저항하거나 반대하다","Boundaries","Medium",1
"regard","verb","to look at or think of (someone or something) in a specified way","(누군가 또는 무언가를 특정한 방식으로) 바라보거나 생각하다",2,"to consider or think of in a particular way","특정한 방식으로 고려하거나 생각하다","Transitions","Medium",1
"reindeer","noun","a large deer with antlers","큰 뿔이 있는 사슴",2,"a specific species of deer known for its unique characteristics","특유의 특징으로 알려진 특정 사슴 종","Transitions","Easy",1
"relative","adjective","having a relation or connection","관계가 있거나 연결된",2,"considered in relation to something else","다른 것과 관련하여 고려된","Boundaries","Medium",1
"release","verb","to set free","자유롭게 하다",2,"to allow to be heard or to be made known","들리거나 알려지도록 허용하다","Transitions | Central Ideas and Details","Easy | Medium",3
"rely","verb","to depend on with full trust or confidence","전적인 신뢰나 확신을 가지고 의존하다",2,"to have confidence in something as a source of support","지원의 원천으로서 무언가에 대한 신뢰를 가지다","Words in Context","Medium",1
"remains","noun","the parts left over after other parts have been removed, used, or destroyed","다른 부분이 제거되거나 사용되거나 파괴된 후 남은 부분",2,"organic matter that has not decayed or decomposed","부패하거나 분해되지 않은 유기물","Form, Structure, and Sense","Medium",1
"remembered","verb","to bring to mind or think of again","다시 생각하다 또는 마음에 떠올리다",2,"to be recalled or recognized in a particular context","특정 맥락에서 회상되거나 인식되다","Transitions","Medium",1
"remind","verb","to cause to remember","기억하게 하다",3,"to bring to mind; to evoke","상기시키다","Transitions","Medium",1
"render","verb","to cause to be or become","~하게 하다",2,"to represent or depict artistically","예술적으로 표현하다","Boundaries","Hard",1
"replace","verb","to take the place of","대신하다",2,"to provide a substitute for","대체물을 제공하다","Inferences | Boundaries","Hard | Medium",2
"represent","verb","to stand for or in place of","대신하다 또는 대신하여 서다",2,"to depict or portray in art","예술에서 묘사하거나 표현하다","Cross-Text Connections | Form, Structure, and Sense","Easy | Medium",3
"require","verb","to need something","무언가가 필요하다",2,"to demand as necessary or essential","필수적이거나 필수로 요구하다","Words in Context | Boundaries | Cross-Text Connections | Transitions","Hard | Easy | Medium",4
"resisted","verb","to withstand, strive against","저항하다, 맞서다",2,"to refuse to accept or comply with","받아들이거나 따르기를 거부하다","Boundaries","Hard",1
"resourcefulness","noun","the ability to deal with difficult situations","어려운 상황을 처리하는 능력",2,"the ability to find quick and clever ways to overcome difficulties","어려움을 극복하는 빠르고 영리한 방법을 찾는 능력","Words in Context","Medium",1
"respond","verb","to say something in return","무언가를 대답하다",2,"to react or reply to a stimulus or inquiry","자극이나 문의에 반응하거나 응답하다","Command of Evidence | Boundaries","Hard",2
"restrict","verb","to limit the size, amount, or range of something","무언가의 크기, 양 또는 범위를 제한하다",2,"to confine within bounds","경계 내에 가두다","Boundaries","Hard",1
"restricts","verb","to limit the size, amount, or range of something","무언가의 크기, 양 또는 범위를 제한하다",2,"to limit or control the extent of something","무언가의 범위를 제한하거나 통제하다","Cross-Text Connections","Medium",1
"risk","verb","to expose to danger or harm","위험이나 해를 입히다",2,"to incur a loss or damage","손실이나 피해를 입다","Form, Structure, and Sense | Cross-Text Connections | Inferences","Easy | Hard",3
"river","noun","a large natural stream of water flowing in a channel to the sea, a lake, or another such stream","바다, 호수 또는 다른 그러한 하천으로 흐르는 큰 자연 수로",2,"a narrow channel of moisture","수분의 좁은 통로","Boundaries","Easy",1
"robust","adjective","having or exhibiting strength or vigorous health","강한 또는 활기찬 건강을 가지고 있거나 나타내는",2,"having a rich and full flavor or quality","풍부하고 완전한 맛이나 품질을 가진","Inferences","Medium",1
"role","noun","a character assigned or assumed","부여된 또는 가정된 역할",2,"a function or position that something has in a particular situation","특정 상황에서 어떤 것이 갖는 기능 또는 위치","Transitions","Hard",1
"rule","verb","to exercise control or authority over","지배하다",2,"to be in a specified state or condition","특정한 상태나 조건에 있다","Form, Structure, and Sense","Easy",1
"sacrifice","noun","the act of giving up something valued for the sake of something else regarded as more important or worthy","더 중요하거나 가치 있는 것을 위해 소중한 것을 포기하는 행위",2,"the act of offering something to a deity in worship","신에게 경배하기 위해 무언가를 바치는 행위","Boundaries","Easy",1
"salt","noun","a white crystalline substance that gives seawater its characteristic taste and is used for seasoning or preserving food","바다의 특유의 맛을 주고 음식의 양념이나 보존에 사용되는 흰 결정체",2,"a substance used in chemical processes or reactions","화학 과정이나 반응에 사용되는 물질","Rhetorical Synthesis","Medium",1
"same","adjective","identical with what is already mentioned or known","이미 언급되었거나 알려진 것과 동일한",2,"having no variation or difference; unchanging","변화나 차이가 없는; 변하지 않는","Text Structure and Purpose","Medium",1
"saturated","adjective","soaked or filled with liquid","액체로 흠뻑 젖은 또는 가득 찬",2,"having a strong intensity of color","강한 색의 강도를 가진","Inferences | Transitions","Hard | Medium",2
"savanna","noun","a grassy plain in tropical and subtropical regions, with few trees","열대 및 아열대 지역의 풀밭, 나무가 거의 없는",2,"a type of ecosystem characterized by open spaces and fewer trees compared to forests","숲에 비해 개방된 공간과 적은 나무로 특징지어지는 생태계의 한 유형","Transitions","Easy",1
"savant","noun","a person of profound or extensive learning; a learned scholar","깊이 있는 또는 광범위한 학습을 한 사람; 학자",2,"a person with detailed knowledge in a particular area","특정 분야에 대한 상세한 지식을 가진 사람","Text Structure and Purpose","Hard",1
"scaffold","noun","a temporary structure for holding workers and materials during the erection or repair of a building","건물의 건설 또는 수리를 위한 작업자와 자재를 지탱하는 임시 구조물",2,"a construction system known as a temporary support structure","임시 지지 구조물로 알려진 건설 시스템","Boundaries","Medium",1
"scene","noun","a place where an incident in real life or fiction occurs or occurred","사건이 발생한 장소",2,"a division of a play or film in which the action takes place in a single location","연극이나 영화의 한 장소에서 행동이 일어나는 부분","Boundaries","Easy",1
"scent","noun","a distinctive smell, especially one that is pleasant","특히 기분 좋은 독특한 냄새",3,"a quality that evokes memories or emotions","기억이나 감정을 불러일으키는 특성","Central Ideas and Details","Easy",1
"sculpture","noun","a three-dimensional work of art","3차원 예술 작품",2,"the art of making such works","그러한 작품을 만드는 예술","Boundaries","Hard",1
"search","verb","to look into or over carefully in an effort to find or discover something","무언가를 찾거나 발견하기 위해 주의 깊게 살펴보다",2,"to try to find something by looking or otherwise seeking carefully and thoroughly","주의 깊고 철저하게 찾거나 탐색하여 무언가를 찾으려 하다","Text Structure and Purpose","Medium",1
"secondary","adjective","next in order or importance","순서나 중요성에서 다음의",2,"occurring as a result or consequence of something else","다른 것의 결과로 발생하는","Boundaries","Easy",1
"see","verb","to perceive with the eyes","눈으로 인식하다",2,"to understand or comprehend","이해하다 또는 파악하다","Form, Structure, and Sense","Medium",1
"seeing","noun","the act of perceiving with the eyes","눈으로 인식하는 행위",2,"the ability to perceive or understand something","무언가를 인식하거나 이해하는 능력","Text Structure and Purpose","Medium",1
"select","verb","to choose in preference to another","다른 것보다 선택하다",2,"to determine or decide upon","결정하다 또는 선택하다","Central Ideas and Details | Inferences","Hard",2
"sense","noun","a faculty by which the body perceives an external stimulus","신체가 외부 자극을 인식하는 능력",2,"a particular feeling or perception","특정한 감정이나 인식","Words in Context | Command of Evidence","Medium | Hard",2
"sensory","adjective","of or relating to sensation or to the senses","감각 또는 감각에 관한",2,"relating to the physical senses rather than the intellect","지성보다는 신체 감각과 관련된","Transitions","Hard",1
"serve","verb","to perform duties or services for another person or an organization","다른 사람이나 조직을 위해 의무나 서비스를 수행하다",2,"to be of use or benefit to","유용하거나 이익이 되다","Inferences | Form, Structure, and Sense","Easy | Medium",3
"set","verb","to put (something) in a specified position","(무언가를) 특정 위치에 두다",2,"to establish or create (a record)","(기록을) 세우다 또는 만들다","Transitions","Easy",1
"sets","verb","to put (something) in a specified place or position","(무언가를) 특정한 장소나 위치에 두다",2,"to establish or fix in a particular state or condition","특정한 상태나 조건에 두다","Transitions","Hard",1
"shape","noun","the external form, contours, or outline of someone or something","누군가 또는 무언가의 외부 형태, 윤곽 또는 윤곽선",2,"a particular form or appearance of something, especially as it relates to artistic expression","무언가의 특정 형태나 외관, 특히 예술적 표현과 관련하여","Transitions","Easy",1
"sheltering","noun","the act of providing protection or refuge","보호 또는 피난을 제공하는 행위",2,"a place that provides protection or refuge","보호 또는 피난을 제공하는 장소","Text Structure and Purpose","Medium",1
"shimmering","verb","to shine with a flickering or wavering light","깜빡이거나 흔들리는 빛으로 빛나다",2,"to move or behave in a way that creates a visual effect resembling waves","파도처럼 보이는 시각적 효과를 만들어내는 방식으로 움직이거나 행동하다","Central Ideas and Details","Easy",1
"show","verb","to cause or allow to be seen","보이게 하다",2,"to demonstrate or indicate","보여주다 또는 나타내다","Inferences","Hard",1
"signal","verb","to make a sound or gesture to convey information","정보를 전달하기 위해 소리나 제스처를 만들다",3,"to indicate or communicate something indirectly","간접적으로 무언가를 나타내거나 전달하다","Command of Evidence","Easy",1
"significance","noun","the quality of being important","중요한 특성",2,"the meaning or interpretation of something","무언가의 의미 또는 해석","Central Ideas and Details | Inferences | Rhetorical Synthesis","Easy | Hard | Medium",3
"significant","adjective","having meaning; important","의미가 있는; 중요한",2,"having a noticeable or important effect; worthy of attention","눈에 띄거나 중요한 영향을 미치는; 주목할 만한","Central Ideas and Details | Command of Evidence","Hard | Medium",2
"signify","verb","to mean; to have as a meaning","의미하다; 의미를 가지다",2,"to represent or indicate","나타내다 또는 지시하다","Cross-Text Connections","Medium",1
"singular","adjective","being one: only one; single","단 하나의, 단수의",2,"of unusual quality: exceptional, remarkable","특별한, 비범한","Words in Context","Medium",1
"sink","verb","to go down below the surface of something (such as a liquid)","액체의 표면 아래로 내려가다",2,"to descend or fall to a lower level","더 낮은 수준으로 내려가다","Transitions","Easy",1
"sisters","noun","female siblings","여성 형제",2,"a group of women or girls who are related or connected in some way","어떤 방식으로든 관련된 여성 또는 소녀의 집단","Boundaries","Medium",1
"situate","verb","to place in a particular spot or position","특정 장소나 위치에 두다",2,"to establish or fix in a particular context or setting","특정 맥락이나 설정에 두다","Words in Context","Hard",1
"slippery","adjective","tending to slip or slide","미끄러지기 쉬운",2,"difficult to hold firmly or stand on due to smoothness","매끄러움으로 인해 단단히 잡거나 서기 어려운","Form, Structure, and Sense","Hard",1
"smoothly","adverb","in a smooth manner","부드럽게",2,"in a way that is free from difficulties or obstacles","어려움이나 장애물 없이","Boundaries","Easy",1
"sold","verb","to transfer (goods) to or render (services) for another in exchange for money","다른 사람에게 돈을 받고 (상품을) 넘기다 또는 (서비스를) 제공하다",2,"to promote or support (an idea or cause)","(아이디어나 원인을) 홍보하거나 지지하다","Transitions","Medium",1
"solitary","adjective","being alone","혼자 있는",2,"living or being alone; not social","혼자 살거나 존재하는; 사회적이지 않은","Command of Evidence","Easy",1
"solve","verb","to find an answer to (a problem or question)","문제나 질문에 대한 답을 찾다",2,"to find a solution or explanation for something","무언가에 대한 해결책이나 설명을 찾다","Boundaries","Hard",1
"some","adjective","a certain number of","어느 정도의",2,"a few or several","몇몇의","Transitions","Easy",1
"source","noun","a person, place, or thing from which something comes or can be obtained","무언가가 오는 곳 또는 얻을 수 있는 사람, 장소 또는 사물",2,"a person or organization that provides information","정보를 제공하는 사람 또는 조직","Words in Context | Boundaries | Command of Evidence","Medium | Easy | Hard",3
"species","noun","a class of individuals having common characteristics and designated by a common name","공통의 특성을 가진 개인의 집단으로, 공통 이름으로 지정됨",2,"a group of living organisms consisting of similar individuals","유사한 개체로 구성된 생물체 그룹","Cross-Text Connections","Easy",1
"split","verb","to divide or separate into parts","부분으로 나누거나 분리하다",2,"to break away from or sever ties with","관계를 끊거나 분리하다","Command of Evidence","Hard",1
